post_id,text,time,video_id,comments,shares,comments_full,reactors,reaction_count,with,image_id,header,date,exact_time,like,love,haha,care,wow,sad,angry
1230592691175307,"Luciano Palonsky 🇦🇷 🆚 🇮🇷 Iran

At the #VNL2023, the outside hitter scored 16 points and 1 block for Argentina in their 3-2 victory against Iran.

📺 Watch the #VNL matches on http://VB.TV

🏐 #BestOfVNL2023 #volleyball #VNL2024 🔜",2023-11-15 22:00:12,1.0,1,1,[],[],64,1,0.0,Volleyball Nations League and Volleyball World,2023-11-15,22:00:12,48,14,1,0,1,0,0
732518805571917,"7️⃣ Monster Blocks by Carol 🇧🇷!

The middle blocker was a force at the net for Savino Del Bene Volley Scandicci in their 3-0 win 🆚 Megabox Volley last weekend in the Lega Pallavolo Serie A Femminile.

📺 Watch the replay on http://vb.tv.

⏰ #LVFSerieA1 schedule: https://bit.ly/3LOXhY3.

🏐 #volleyball #pallavolo",2023-11-15 20:00:13,1.0,0,2,[],[],220,1,0.0,Volleyball World posted a video to playlist 2023/2024 Lega Volley Femminile Highlights.,2023-11-15,20:00:13,169,50,0,1,0,0,0
732571825566615,"ZEHRA GUNES 🇹🇷

The ""Monster Blocker"" & her club team VakıfBank Spor Kulübü will compete at the 2023 #ClubWorldChamps from December 13-17.

📺 Matches are LIVE on VB.TV.

⏰ Event info & schedule: https://bit.ly/3SCAuml

🏐 #Volleyball #FileninSultanları",2023-11-15 18:00:08,1.0,5,10,"[{'comment_id': '1073502340502070', 'comment_url': 'https://facebook.com/1073502340502070', 'commenter_id': '100069865607132', 'commenter_url': 'https://facebook.com/profile.php?id=100069865607132&eav=AfbIgx4L8GCHyXn1vMW4w4K5o_ceAoGjgouE1-YRhdhOIIzqrXQiWTZCfn92kiSd0EY&fref=nf&rc=p&refid=52&__tn__=R&paipv=0', 'commenter_name': 'Yunior Verdecia', 'commenter_meta': None, 'comment_text': 'Beautiful, success and good luck☘️', 'comment_time': datetime.datetime(2023, 11, 14, 21, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}, {'comment_id': '887818429609684', 'comment_url': 'https://facebook.com/887818429609684', 'commenter_id': '100008624523820', 'commenter_url': 'https://facebook.com/marjorie.aduan.3?eav=AfZq_quS7YBi3OBZZglRGoCABxSmCfyWvRYFYtkI91flb04XH7DWRnyld6NkStws570&fref=nf&rc=p&refid=52&__tn__=%7ER&paipv=0', 'commenter_name': 'Marjorie Aduan', 'commenter_meta': None, 'comment_text': 'Wow!', 'comment_time': datetime.datetime(2023, 11, 14, 22, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}, {'comment_id': '1422691858657649', 'comment_url': 'https://facebook.com/1422691858657649', 'commenter_id': '100001070302383', 'commenter_url': 'https://facebook.com/cewe.lampunk?eav=Afb23ug-3scioF-r-5f4czKaNsNuISifyWWCJCWiiWLtnNLAtL3XCBSBCMXtuF_vfTk&fref=nf&rc=p&refid=52&__tn__=%7ER&paipv=0', 'commenter_name': 'Aya Naimi', 'commenter_meta': None, 'comment_text': 'gunes ❤️', 'comment_time': datetime.datetime(2023, 11, 14, 21, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}, {'comment_id': '1568065003999856', 'comment_url': 'https://facebook.com/1568065003999856', 'commenter_id': '100060713191532', 'commenter_url': 'https://facebook.com/alisandikcitr?eav=Afba7yF6nbq_taY_Kz3jjk0Hu-WYMNFUFww1nY4RxkP6mehUzHj8hFCFZYGyJ8yuWKM&fref=nf&rc=p&refid=52&__tn__=%7ER&paipv=0', 'commenter_name': 'Ali Sandıkçı', 'commenter_meta': None, 'comment_text': 'Başarılar Dilerim , Hayırlı Olsun', 'comment_time': datetime.datetime(2023, 11, 14, 21, 0), 'comment_image': 'https://scontent.fhan2-4.fna.fbcdn.net/m1/v/t6/An_UvxJXg9tdnLU3Y5qjPi0200MLilhzPXUgxzGjQzUMaNcmjdZA6anyrngvkdub33NZzZhd51fpCAEzNHFhko5aKRFP5fS1w_lKwYrzcNLupv27.png?ccb=10-5&oh=00_AfCvKGw9-jqRjJMpDR2-ZgscpE7-9qHcSCBuGMDif1AKow&oe=657C42B9&_nc_sid=7da55a', 'comment_reactors': [{'name': 'Ferry Kurniawan', 'link': 'https://facebook.com/profile.php?id=100057023984705&eav=AfbrB7VhMMh7zqw4PPBKCu3BnfwUl1xwXkI5dBIZf3T49Hrd365SBunCyG7wpxokPy0&fref=pb&paipv=0', 'type': 'like'}, {'name': 'Ali Sandıkçı', 'link': 'https://facebook.com/alisandikcitr?eav=AfbXOdcM2tKrvyT59yL_VOUU9dQ-lGSDUlGMd2oiVl--Ww4HbNBOMTrR5IF2scu-9B8&fref=pb&paipv=0', 'type': 'like'}], 'comment_reactions': {'like': 2}, 'comment_reaction_count': 2, 'replies': []}, {'comment_id': '1864703883987567', 'comment_url': 'https://facebook.com/1864703883987567', 'commenter_id': '100092039563915', 'commenter_url': 'https://facebook.com/profile.php?id=100092039563915&eav=AfakUu-g6kyhtDinekTymyT7e8y0BGvV2Izn4QQxZ2RaCaK8X4u0ZPnUch-fDSoP9ig&fref=nf&rc=p&refid=52&__tn__=R&paipv=0', 'commenter_name': 'Rodolfo Rivero', 'commenter_meta': 'Top fan', 'comment_text': 'Hermosa', 'comment_time': datetime.datetime(2023, 11, 14, 22, 0), 'comment_image': None, 'comment_reactors': [], 'comment_reactions': None, 'comment_reaction_count': None, 'replies': []}]",[],355,0,0.0,No header,2023-11-15,18:00:08,290,64,0,1,0,0,0
